Accident_ID,Month_Year,Time,Location ,Accident_Severity,Vehicle_Type,Weather_Condition,Road_Type,Number_of_Casualties,Number_of_Fatalities,Light_Condition,Speed_Limit (km/h)
ACC0036,Feb-23,11:02,Durgapur West Bengal,Serious,Cycle,Hazy,Village Road,9,5,Dark,106
ACC0037,Jan-19,16:03,Kozhikode Kerala,Fatal,Car,Foggy,State Highway,3,1,Dawn,102
ACC0038,Jul-20,19:18,Dibrugarh Assam,Minor,Car,Foggy,National Highway,1,5,Dawn,48
ACC0039,Jun-18,17:43,Kohima Nagaland,Minor,Truck,Foggy,Urban Road,5,3,Dusk,32
ACC0040,Feb-22,06:20,Jowai Meghalaya,Serious,Truck,Hazy,Urban Road,4,1,Dusk,59
ACC0041,Feb-22,17:08,Raipur Chhattisgarh,Fatal,Truck,Rainy,National Highway,5,5,Daylight,88
ACC0042,Jul-22,20:19,Surat Gujarat,Serious,Auto-Rickshaw,Foggy,Village Road,2,2,Dusk,83
ACC0043,Apr-20,07:58,Kolkata West Bengal,Minor,Auto-Rickshaw,Clear,State Highway,2,5,Dawn,58
ACC0044,Dec-18,07:46,Kolkata West Bengal,Serious,Cycle,Rainy,Village Road,2,5,Dark,30
ACC0045,Feb-22,10:52,Udaipur Tripura,Serious,Truck,Foggy,National Highway,8,1,Dawn,104
ACC0046,Feb-21,22:36,Bangalore Karnataka,Minor,Truck,Rainy,Urban Road,1,5,Dark,93
ACC0047,Nov-21,09:04,Durgapur West Bengal,Minor,Auto-Rickshaw,Foggy,State Highway,4,4,Dark,82
ACC0048,Jan-20,19:34,Bilaspur Chhattisgarh,Fatal,Cycle,Rainy,Village Road,0,2,Daylight,82
ACC0049,Oct-19,05:00,Dharamshala Himachal Pradesh,Serious,Car,Stormy,Village Road,2,5,Daylight,108
ACC0050,May-23,04:33,Ahmedabad Gujarat,Minor,Auto-Rickshaw,Hazy,National Highway,9,4,Dusk,41
ACC0051,Dec-19,00:26,Ahmedabad Gujarat,Fatal,Two-Wheeler,Rainy,State Highway,3,5,Dusk,61
ACC0052,May-18,18:57,Kanpur Uttar Pradesh,Minor,Two-Wheeler,Rainy,National Highway,6,2,Dusk,109
ACC0053,Aug-22,22:43,Rourkela Odisha,Fatal,Two-Wheeler,Foggy,National Highway,1,3,Daylight,30
ACC0054,May-22,09:10,Haldwani Uttarakhand,Minor,Auto-Rickshaw,Hazy,State Highway,1,4,Dawn,114
ACC0055,Apr-21,05:38,Durg Chhattisgarh,Serious,Pedestrian,Foggy,State Highway,6,4,Dusk,37
ACC0056,Oct-20,20:21,Mangalore Karnataka,Serious,Bus,Hazy,State Highway,1,5,Dark,50
ACC0057,Feb-22,00:35,Haldwani Uttarakhand,Serious,Car,Stormy,National Highway,8,1,Dark,89
ACC0058,Feb-23,22:31,Itanagar Arunachal Pradesh,Fatal,Two-Wheeler,Rainy,State Highway,9,2,Daylight,117
ACC0059,Nov-22,00:24,Siliguri West Bengal,Fatal,Cycle,Rainy,State Highway,7,4,Dawn,45
ACC0060,Apr-18,07:09,Durg Chhattisgarh,Serious,Two-Wheeler,Foggy,State Highway,8,3,Dawn,70
ACC0061,Aug-21,08:33,Faridabad Haryana,Fatal,Two-Wheeler,Hazy,State Highway,6,4,Dark,60
ACC0062,Jan-22,07:51,Vijayawada Andhra Pradesh,Minor,Pedestrian,Clear,National Highway,0,0,Dawn,95
ACC0063,Jun-23,06:10,Jorhat Assam,Fatal,Bus,Clear,Urban Road,6,0,Dusk,31
ACC0064,Oct-18,10:06,Dharamshala Himachal Pradesh,Minor,Cycle,Foggy,Village Road,6,3,Dawn,85
ACC0065,Jun-19,21:56,Puri Odisha,Fatal,Two-Wheeler,Hazy,Village Road,2,3,Daylight,110
ACC0066,Aug-19,10:54,Nizamabad Telangana,Serious,Bus,Foggy,National Highway,3,2,Dawn,90
ACC0067,Feb-21,20:23,Roorkee Uttarakhand,Serious,Auto-Rickshaw,Foggy,Urban Road,5,0,Dark,61
ACC0068,Feb-18,15:01,Panaji Goa,Fatal,Auto-Rickshaw,Clear,Village Road,0,4,Dawn,35
ACC0069,Aug-23,17:55,Chandigarh Chandigarh,Fatal,Auto-Rickshaw,Rainy,Village Road,2,5,Dusk,85
ACC0070,Apr-23,05:27,Dibrugarh Assam,Fatal,Pedestrian,Stormy,State Highway,0,0,Daylight,99
ACC0071,May-18,00:29,Cuttack Odisha,Serious,Pedestrian,Hazy,Urban Road,0,3,Dusk,30
ACC0072,Jun-18,16:53,Champhai Mizoram,Serious,Truck,Hazy,Village Road,0,2,Dark,97
ACC0073,Mar-23,13:40,Vadodara Gujarat,Fatal,Truck,Foggy,Urban Road,2,3,Dawn,105
ACC0074,Apr-18,02:42,Shillong Meghalaya,Serious,Auto-Rickshaw,Hazy,State Highway,6,2,Dawn,94
ACC0075,Oct-19,05:10,Mysore Karnataka,Minor,Bus,Stormy,Village Road,10,2,Dark,44
ACC0076,Apr-20,16:57,Roorkee Uttarakhand,Minor,Bus,Clear,State Highway,6,2,Dark,66
ACC0077,Jan-18,04:43,Dwarka Delhi,Serious,Two-Wheeler,Rainy,State Highway,1,4,Dusk,77
ACC0078,Apr-22,00:43,Ranchi Jharkhand,Fatal,Cycle,Clear,State Highway,10,3,Dark,38
ACC0079,Apr-20,19:42,Dibrugarh Assam,Minor,Car,Clear,Village Road,3,2,Dark,43
ACC0080,Feb-23,09:18,Anantnag Jammu and Kashmir,Fatal,Cycle,Clear,National Highway,3,1,Dusk,41
ACC0081,Apr-18,15:40,Patiala Punjab,Serious,Car,Stormy,National Highway,1,3,Dark,30
ACC0082,Dec-23,17:12,Srinagar Jammu and Kashmir,Fatal,Cycle,Rainy,Urban Road,10,3,Dark,68
ACC0083,Aug-18,09:03,Vadodara Gujarat,Minor,Pedestrian,Foggy,National Highway,10,0,Dawn,74
ACC0084,Jun-19,16:44,Nagpur Maharashtra,Minor,Car,Hazy,State Highway,5,5,Dawn,101
ACC0085,May-20,08:53,Thoubal Manipur,Minor,Two-Wheeler,Hazy,Urban Road,10,1,Daylight,33
ACC0086,May-23,12:02,Nagpur Maharashtra,Fatal,Two-Wheeler,Hazy,Urban Road,7,1,Dusk,57
ACC0087,Oct-20,17:06,Chandigarh Chandigarh,Minor,Car,Rainy,Village Road,1,1,Dusk,43
ACC0088,Jul-22,02:57,Gwalior Madhya Pradesh,Minor,Car,Hazy,Urban Road,8,2,Dawn,81
ACC0089,Mar-23,03:27,Gaya Bihar,Fatal,Bus,Hazy,Village Road,1,1,Dusk,67
ACC0090,Feb-22,02:35,Udaipur Tripura,Fatal,Cycle,Foggy,State Highway,6,0,Dusk,98
ACC0091,Oct-18,11:17,Jabalpur Madhya Pradesh,Serious,Bus,Clear,Village Road,4,3,Daylight,73
ACC0092,Nov-21,23:18,Ranchi Jharkhand,Minor,Bus,Stormy,Village Road,3,0,Dusk,95
ACC0093,May-22,12:31,Guwahati Assam,Minor,Bus,Stormy,Urban Road,4,4,Dark,82
ACC0094,Aug-18,14:45,Amritsar Punjab,Serious,Cycle,Rainy,Village Road,3,1,Daylight,74
ACC0095,Jul-18,09:17,Dimapur Nagaland,Fatal,Auto-Rickshaw,Stormy,Urban Road,7,3,Dawn,47
ACC0096,Apr-20,01:29,Lucknow Uttar Pradesh,Minor,Car,Clear,National Highway,5,3,Daylight,36
ACC0097,Aug-22,12:26,Ahmedabad Gujarat,Serious,Two-Wheeler,Rainy,State Highway,3,3,Daylight,59
ACC0098,Aug-20,16:40,Udaipur Tripura,Serious,Cycle,Rainy,National Highway,10,5,Dusk,37
ACC0099,Feb-20,12:07,Guwahati Assam,Minor,Car,Stormy,Village Road,1,2,Dusk,73
ACC0100,Dec-20,12:46,Mysore Karnataka,Fatal,Car,Foggy,Urban Road,9,0,Dusk,60
ACC0101,Sep-23,13:12,Karimnagar Telangana,Minor,Car,Stormy,State Highway,6,3,Dawn,84
ACC0102,Dec-20,10:51,Dharmanagar Tripura,Fatal,Auto-Rickshaw,Clear,State Highway,4,4,Daylight,100
ACC0103,Aug-19,06:11,Tirupati Andhra Pradesh,Serious,Cycle,Rainy,State Highway,5,3,Dusk,98
ACC0104,Apr-22,05:20,Thrissur Kerala,Minor,Two-Wheeler,Clear,Urban Road,10,3,Dusk,86
ACC0105,Mar-19,07:50,Anantnag Jammu and Kashmir,Serious,Car,Hazy,National Highway,0,0,Daylight,50
ACC0106,Jun-20,15:50,Margao Goa,Fatal,Auto-Rickshaw,Stormy,Village Road,8,5,Dark,49
ACC0107,Aug-23,10:13,Vadodara Gujarat,Serious,Pedestrian,Stormy,Village Road,5,4,Daylight,102
ACC0108,May-21,05:29,Haridwar Uttarakhand,Fatal,Bus,Stormy,Village Road,2,2,Daylight,86
ACC0109,Sep-19,20:43,Tura Meghalaya,Fatal,Bus,Hazy,National Highway,2,4,Dusk,103
ACC0110,Aug-22,11:22,Bishnupur Manipur,Minor,Car,Foggy,Village Road,8,4,Dark,41
ACC0111,Oct-20,18:43,Bhilai Chhattisgarh,Fatal,Auto-Rickshaw,Clear,State Highway,3,5,Dusk,111
ACC0112,Dec-22,22:37,Mysore Karnataka,Serious,Auto-Rickshaw,Stormy,Urban Road,9,4,Dusk,92
ACC0113,Jun-21,03:40,Bishnupur Manipur,Fatal,Pedestrian,Foggy,Urban Road,4,5,Dark,32
ACC0114,Oct-19,08:16,Dhanbad Jharkhand,Minor,Auto-Rickshaw,Hazy,National Highway,10,5,Dusk,50
ACC0115,May-21,03:50,Aizawl Mizoram,Serious,Truck,Rainy,State Highway,9,5,Dusk,83
ACC0116,Oct-18,18:24,Chandigarh Chandigarh,Fatal,Two-Wheeler,Stormy,State Highway,5,0,Dusk,120
ACC0117,May-23,02:20,Patiala Punjab,Minor,Truck,Clear,National Highway,0,0,Dusk,66
ACC0118,Feb-23,13:20,Dharmanagar Tripura,Serious,Auto-Rickshaw,Clear,Village Road,0,1,Dawn,69
ACC0119,Jun-20,03:19,Warangal Telangana,Minor,Two-Wheeler,Stormy,Urban Road,10,1,Dusk,73
ACC0120,Jun-22,17:25,Mangalore Karnataka,Fatal,Bus,Rainy,National Highway,8,4,Daylight,86
ACC0121,Jul-23,21:40,Bhopal Madhya Pradesh,Fatal,Cycle,Rainy,State Highway,3,1,Dusk,81
ACC0122,May-20,17:09,Chandigarh Chandigarh,Minor,Bus,Rainy,National Highway,10,0,Dark,61
ACC0123,May-19,22:03,Chennai Tamil Nadu,Minor,Bus,Hazy,National Highway,10,4,Daylight,35
ACC0124,Apr-19,16:44,Rohini Delhi,Fatal,Bus,Stormy,State Highway,7,3,Daylight,77
ACC0125,Oct-18,10:18,Durg Chhattisgarh,Fatal,Bus,Clear,Urban Road,1,2,Daylight,119
ACC0126,Feb-22,04:31,Puducherry Puducherry,Serious,Cycle,Hazy,Urban Road,10,5,Dark,30
ACC0127,Jun-18,20:12,Kolkata West Bengal,Serious,Bus,Rainy,State Highway,0,3,Dawn,88
ACC0128,Nov-23,21:27,Chennai Tamil Nadu,Serious,Two-Wheeler,Rainy,Urban Road,10,1,Dawn,80
ACC0129,May-19,22:18,Ludhiana Punjab,Minor,Pedestrian,Stormy,Village Road,4,4,Dawn,49
ACC0130,May-20,06:49,Bangalore Karnataka,Serious,Cycle,Rainy,Urban Road,8,2,Daylight,96
ACC0131,Nov-20,20:49,Kohima Nagaland,Serious,Cycle,Foggy,National Highway,0,4,Daylight,79
ACC0132,Jul-19,20:04,Nagpur Maharashtra,Fatal,Pedestrian,Clear,National Highway,2,2,Dark,35
ACC0133,Oct-22,04:47,Tura Meghalaya,Fatal,Bus,Clear,Urban Road,10,2,Dawn,95
ACC0134,Jun-23,23:33,Mangalore Karnataka,Serious,Two-Wheeler,Rainy,National Highway,5,3,Dark,31
ACC0135,Aug-23,06:01,Faridabad Haryana,Minor,Cycle,Foggy,Urban Road,9,0,Dusk,70
ACC0136,Jan-18,22:19,Madurai Tamil Nadu,Minor,Truck,Hazy,State Highway,9,1,Daylight,55
ACC0137,Sep-22,22:07,Gangtok Sikkim,Serious,Car,Foggy,State Highway,0,5,Dark,107
ACC0138,Jun-21,06:44,Gaya Bihar,Fatal,Car,Stormy,State Highway,10,4,Dark,44
ACC0139,Sep-19,08:19,Puri Odisha,Serious,Two-Wheeler,Stormy,Village Road,4,4,Dark,68
ACC0140,Jul-19,20:20,Nizamabad Telangana,Serious,Car,Hazy,Urban Road,1,5,Dawn,53
ACC0141,Dec-21,07:47,Visakhapatnam Andhra Pradesh,Minor,Bus,Clear,State Highway,5,4,Dawn,119
ACC0142,May-19,00:21,Bilaspur Chhattisgarh,Minor,Auto-Rickshaw,Foggy,Village Road,0,2,Dusk,56
ACC0143,Nov-19,10:31,Bhopal Madhya Pradesh,Serious,Car,Stormy,State Highway,1,0,Daylight,117
ACC0144,Aug-21,23:25,Guwahati Assam,Fatal,Pedestrian,Rainy,State Highway,5,5,Daylight,52
ACC0145,Mar-18,08:16,Mokokchung Nagaland,Minor,Pedestrian,Foggy,National Highway,0,1,Dark,53
ACC0146,May-20,02:21,Bangalore Karnataka,Fatal,Two-Wheeler,Rainy,Village Road,6,1,Daylight,54
ACC0147,Sep-21,23:48,Chandigarh Chandigarh,Minor,Truck,Clear,Urban Road,0,3,Daylight,119
ACC0148,Jun-18,04:11,Itanagar Arunachal Pradesh,Fatal,Cycle,Hazy,National Highway,4,1,Daylight,101
ACC0149,Jul-18,12:56,Karaikal Puducherry,Minor,Truck,Clear,National Highway,0,0,Dark,86
ACC0150,Jun-21,06:52,Ahmedabad Gujarat,Fatal,Car,Stormy,National Highway,5,1,Dark,56
ACC0151,Apr-22,14:54,Chennai Tamil Nadu,Serious,Truck,Hazy,Urban Road,3,2,Dawn,69
ACC0152,Nov-22,07:50,Dibrugarh Assam,Minor,Two-Wheeler,Foggy,National Highway,8,2,Daylight,54
ACC0153,Mar-18,02:29,Bokaro Jharkhand,Serious,Bus,Clear,State Highway,9,0,Dark,38
ACC0154,Feb-20,14:16,Nongstoin Meghalaya,Serious,Cycle,Hazy,State Highway,6,5,Dark,54
ACC0155,Mar-19,20:20,Gaya Bihar,Minor,Car,Stormy,National Highway,9,1,Daylight,67
ACC0156,Apr-20,21:52,Thoubal Manipur,Fatal,Car,Clear,State Highway,3,3,Daylight,69
ACC0157,Jul-19,19:50,Dehradun Uttarakhand,Serious,Bus,Hazy,State Highway,4,5,Daylight,69
ACC0158,Jan-18,20:38,New Delhi Delhi,Serious,Pedestrian,Clear,National Highway,9,0,Dusk,90
ACC0159,Mar-19,06:04,Gaya Bihar,Fatal,Two-Wheeler,Stormy,Urban Road,5,1,Daylight,35
ACC0160,Sep-19,07:15,Dharmanagar Tripura,Minor,Car,Rainy,National Highway,10,1,Dawn,118
ACC0161,Sep-23,02:36,Panipat Haryana,Serious,Truck,Rainy,Urban Road,9,0,Dawn,75
ACC0162,Oct-19,20:47,Karimnagar Telangana,Minor,Pedestrian,Hazy,Urban Road,1,2,Dawn,116
ACC0163,Aug-18,14:14,Udaipur Rajasthan,Serious,Auto-Rickshaw,Stormy,Village Road,3,0,Dusk,120
ACC0164,Dec-19,15:21,Puducherry Puducherry,Minor,Bus,Hazy,National Highway,3,1,Dark,73
ACC0165,Jul-23,12:12,Puducherry Puducherry,Fatal,Cycle,Hazy,State Highway,2,0,Dusk,40
ACC0166,Aug-19,12:46,Bhopal Madhya Pradesh,Minor,Two-Wheeler,Hazy,Village Road,1,3,Dusk,31
ACC0167,Nov-23,15:18,Lucknow Uttar Pradesh,Minor,Car,Stormy,Village Road,4,4,Dark,45
ACC0168,May-19,20:55,Silchar Assam,Serious,Truck,Clear,National Highway,7,0,Dark,100
ACC0169,Aug-19,17:40,Chandigarh Chandigarh,Serious,Truck,Clear,Urban Road,2,0,Dusk,64
ACC0170,Dec-23,05:36,Mandi Himachal Pradesh,Minor,Auto-Rickshaw,Clear,Village Road,3,1,Dark,78
ACC0171,Sep-21,04:57,Mangan Sikkim,Serious,Pedestrian,Clear,Village Road,0,0,Dark,91
ACC0172,Dec-20,02:24,Bhubaneswar Odisha,Fatal,Truck,Clear,Village Road,9,0,Daylight,66
ACC0173,Jan-23,04:46,Coimbatore Tamil Nadu,Fatal,Cycle,Foggy,State Highway,9,5,Dark,34
ACC0174,Aug-20,19:24,Mangalore Karnataka,Fatal,Cycle,Rainy,Urban Road,1,1,Daylight,73
ACC0175,Oct-18,17:59,New Delhi Delhi,Minor,Bus,Foggy,National Highway,6,4,Dusk,67
ACC0176,Sep-23,23:11,Indore Madhya Pradesh,Minor,Bus,Rainy,Village Road,9,0,Dark,108
ACC0177,Oct-20,20:35,Puducherry Puducherry,Minor,Pedestrian,Foggy,National Highway,8,1,Dark,65
ACC0178,Jul-20,13:27,Thiruvananthapuram Kerala,Fatal,Cycle,Rainy,National Highway,9,3,Daylight,78
ACC0179,Dec-20,03:48,Guwahati Assam,Fatal,Pedestrian,Stormy,National Highway,0,2,Daylight,49
ACC0180,Sep-22,09:15,Rohini Delhi,Minor,Two-Wheeler,Rainy,State Highway,0,0,Dusk,87
ACC0181,Mar-20,20:24,Faridabad Haryana,Fatal,Bus,Clear,Urban Road,3,4,Dusk,91
ACC0182,Jul-23,10:14,Ludhiana Punjab,Minor,Pedestrian,Clear,Urban Road,5,4,Dark,111
ACC0183,Jan-20,23:22,Dibrugarh Assam,Serious,Cycle,Foggy,Urban Road,4,4,Dark,99
ACC0184,May-23,06:14,Cuttack Odisha,Fatal,Cycle,Foggy,National Highway,4,4,Dusk,58
ACC0185,Apr-23,17:10,Korba Chhattisgarh,Fatal,Auto-Rickshaw,Hazy,Urban Road,2,5,Daylight,117
ACC0186,Jun-18,05:53,Gyalshing Sikkim,Serious,Two-Wheeler,Rainy,State Highway,3,2,Dusk,40
ACC0187,Jun-19,05:35,Aizawl Mizoram,Minor,Cycle,Foggy,Urban Road,6,5,Daylight,35
ACC0188,Aug-18,03:40,Siliguri West Bengal,Serious,Auto-Rickshaw,Stormy,Village Road,8,0,Daylight,48
ACC0189,May-19,05:19,Patna Bihar,Minor,Truck,Stormy,National Highway,7,4,Daylight,118
ACC0190,Feb-18,00:06,Agartala Tripura,Serious,Cycle,Clear,National Highway,1,4,Dark,53
ACC0191,Jul-21,03:30,Durgapur West Bengal,Minor,Auto-Rickshaw,Clear,State Highway,0,2,Dark,38
ACC0192,Dec-23,22:00,Udaipur Rajasthan,Minor,Car,Clear,Village Road,6,4,Dusk,62
ACC0193,Apr-18,20:12,Dharmanagar Tripura,Serious,Bus,Foggy,National Highway,8,3,Dawn,90
ACC0194,Jan-21,20:17,Muzaffarpur Bihar,Fatal,Bus,Foggy,National Highway,9,3,Daylight,40
ACC0195,Feb-22,12:25,Udaipur Rajasthan,Serious,Car,Hazy,Urban Road,6,3,Dawn,51
ACC0196,Jun-23,07:02,Dhanbad Jharkhand,Fatal,Two-Wheeler,Stormy,State Highway,2,0,Dawn,83
ACC0197,Oct-23,22:37,New Delhi Delhi,Serious,Pedestrian,Clear,National Highway,6,3,Daylight,55
ACC0198,Jun-18,00:54,Jalandhar Punjab,Minor,Car,Hazy,Village Road,1,3,Dark,106
ACC0199,Apr-20,04:09,Namchi Sikkim,Minor,Pedestrian,Stormy,State Highway,5,2,Dark,120
ACC0200,May-18,12:58,Chennai Tamil Nadu,Minor,Pedestrian,Foggy,Urban Road,9,2,Dusk,117
ACC0201,Jun-20,13:34,Haridwar Uttarakhand,Fatal,Auto-Rickshaw,Hazy,Urban Road,3,0,Dawn,50
ACC0202,Nov-20,03:03,Dharamshala Himachal Pradesh,Minor,Bus,Rainy,National Highway,5,0,Daylight,32
ACC0203,Jun-22,15:17,Ahmedabad Gujarat,Fatal,Cycle,Hazy,State Highway,9,1,Dusk,32
ACC0204,Oct-18,19:42,Varanasi Uttar Pradesh,Serious,Car,Stormy,State Highway,7,0,Dusk,106
ACC0205,Aug-20,14:42,Indore Madhya Pradesh,Serious,Two-Wheeler,Hazy,Urban Road,6,1,Dawn,34
ACC0206,Jan-19,12:21,Mangalore Karnataka,Fatal,Cycle,Hazy,State Highway,6,2,Dark,41
ACC0207,Aug-19,02:01,Bishnupur Manipur,Minor,Truck,Hazy,Urban Road,1,4,Daylight,120
ACC0208,Feb-19,08:19,Bhopal Madhya Pradesh,Serious,Cycle,Clear,Village Road,8,2,Dusk,84
ACC0209,Nov-21,13:44,Haldwani Uttarakhand,Minor,Car,Stormy,State Highway,9,4,Daylight,49
ACC0210,Oct-21,11:52,Jammu Jammu and Kashmir,Minor,Two-Wheeler,Stormy,Village Road,2,3,Dusk,79
ACC0211,Feb-22,21:05,Margao Goa,Fatal,Two-Wheeler,Hazy,Village Road,9,4,Daylight,95
ACC0212,May-21,00:41,Haridwar Uttarakhand,Fatal,Cycle,Rainy,Urban Road,1,2,Daylight,105
ACC0213,Nov-21,04:24,Durg Chhattisgarh,Minor,Auto-Rickshaw,Stormy,State Highway,0,2,Daylight,111
ACC0214,May-21,13:53,Pune Maharashtra,Minor,Two-Wheeler,Stormy,Urban Road,9,3,Daylight,75
ACC0215,May-21,01:04,Mumbai Maharashtra,Serious,Two-Wheeler,Hazy,Urban Road,8,0,Dark,50
ACC0216,Oct-22,00:06,Bishnupur Manipur,Fatal,Bus,Clear,Urban Road,0,3,Dawn,98
ACC0217,Mar-23,05:14,Mandi Himachal Pradesh,Minor,Two-Wheeler,Stormy,Village Road,3,3,Dark,93
ACC0218,Sep-21,20:15,New Delhi Delhi,Serious,Truck,Stormy,National Highway,10,0,Dusk,102
ACC0219,Jan-21,14:19,Dimapur Nagaland,Minor,Two-Wheeler,Foggy,State Highway,2,1,Daylight,38
ACC0220,Mar-23,21:18,Mysore Karnataka,Serious,Two-Wheeler,Clear,Urban Road,7,3,Dark,118
ACC0221,May-22,17:08,Thoubal Manipur,Serious,Pedestrian,Hazy,Village Road,9,1,Daylight,120
ACC0222,Nov-21,22:53,Tura Meghalaya,Fatal,Auto-Rickshaw,Hazy,National Highway,2,4,Daylight,99
ACC0223,Jun-19,09:33,Nizamabad Telangana,Minor,Truck,Hazy,Urban Road,8,0,Dawn,30
ACC0224,Nov-21,13:04,Pasighat Arunachal Pradesh,Minor,Cycle,Rainy,Urban Road,1,2,Dawn,43
ACC0225,Aug-19,16:07,Mapusa Goa,Minor,Car,Clear,Village Road,3,5,Dark,62
ACC0226,Nov-21,19:19,Amritsar Punjab,Serious,Truck,Hazy,Urban Road,1,0,Dawn,67
ACC0227,Apr-23,16:26,Gaya Bihar,Minor,Car,Stormy,State Highway,7,4,Dawn,54
ACC0228,May-21,11:16,Margao Goa,Minor,Pedestrian,Rainy,National Highway,10,3,Daylight,97
ACC0229,Dec-23,13:48,Ambala Haryana,Minor,Cycle,Rainy,Village Road,7,4,Daylight,68
ACC0230,Apr-20,17:25,Ahmedabad Gujarat,Minor,Auto-Rickshaw,Foggy,State Highway,10,2,Dusk,110
ACC0231,Apr-21,22:45,Dimapur Nagaland,Fatal,Auto-Rickshaw,Rainy,State Highway,5,0,Dark,35
ACC0232,Jan-21,00:54,Thoubal Manipur,Serious,Truck,Foggy,State Highway,3,3,Dark,42
ACC0233,Dec-21,17:01,Thiruvananthapuram Kerala,Serious,Two-Wheeler,Hazy,National Highway,10,4,Daylight,100
ACC0234,Jun-19,14:59,Vasco da Gama Goa,Serious,Cycle,Foggy,Urban Road,0,4,Dark,109
ACC0235,Aug-21,13:11,Mangan Sikkim,Serious,Auto-Rickshaw,Clear,State Highway,0,4,Dusk,59
